Name,AmountSpent,CustomerId,FirstName,LastName
Iron Maiden,17.82,55,Mark,Taylor
Iron Maiden,15.84,35,Madalena,Sampaio
Iron Maiden,13.86,16,Frank,Harris
Iron Maiden,13.86,36,Hannah,Schneider
Iron Maiden,8.91,5,František,Wichterlová
Iron Maiden,8.91,27,Patrick,Gray
Iron Maiden,5.94,19,Tim,Goyer
Iron Maiden,5.94,39,Camille,Bernard
Iron Maiden,5.94,58,Manoj,Pareek
Iron Maiden,4.95,7,Astrid,Gruber
Iron Maiden,4.95,25,Victor,Stevens
Iron Maiden,3.96,15,Jennifer,Peterson
Iron Maiden,3.96,54,Steve,Murray
Iron Maiden,2.97,50,Enrique,Muñoz
Iron Maiden,1.98,11,Alexandre,Rocha
Iron Maiden,1.98,13,Fernanda,Ramos
Iron Maiden,1.98,31,Martha,Silk
Iron Maiden,1.98,33,Ellie,Sullivan
Iron Maiden,1.98,51,Joakim,Johansson
Iron Maiden,1.98,52,Emma,Jones
Iron Maiden,1.98,53,Phil,Hughes
Iron Maiden,1.98,59,Puja,Srivastava
Iron Maiden,0.99,10,Eduardo,Martins
Iron Maiden,0.99,30,Edward,Francis
Iron Maiden,0.99,45,Ladislav,Kovács
Iron Maiden,0.99,46,Hugh,O'Reilly
Iron Maiden,0.99,49,Stanisław,Wójcik
